calibration_ece_change,calibration_ece_clean,calibration_ece_transformed,class_name,count,failure_count,failure_prevalence_among_clean_correct,family,label_consistency,model,normalized_instability_mean,run,seed,severity,transformed_accuracy,unique_source_count
0.0316668512026469,0.012438422997792542,0.04410527420043944,River,375,21,0.05660377358490566,texture,0.9413333333333334,resnet50,0.0002699588477366256,resnet50-seed29,29,moderate,0.9333333333333333,375
0.024339447418848706,0.003846578465567624,0.028186025884416332,SeaLake,450,15,0.0334075723830735,texture,0.9666666666666667,resnet50,0.0006787379972565158,resnet50-seed29,29,moderate,0.9644444444444444,450
0.0300422151883443,0.005200930171542734,0.03524314535988703,AnnualCrop,450,24,0.053811659192825115,texture,0.9444444444444444,resnet50,0.0019824417009602193,resnet50-seed29,29,severe,0.94,450
-0.001307944324281537,0.002521454228295268,0.0012135099040137308,Forest,450,0,0.0,texture,0.9977777777777778,resnet50,1.646090534979424e-05,resnet50-seed29,29,severe,1.0,450
0.023272777729564268,0.029302742481231683,0.05257552021079595,HerbaceousVegetation,450,26,0.059770114942528735,texture,0.9222222222222223,resnet50,0.0016888888888888889,resnet50-seed29,29,severe,0.9244444444444444,450
0.02514821664492291,0.00760494629542034,0.03275316294034325,Highway,375,22,0.05929919137466307,texture,0.936,resnet50,0.0010403292181069958,resnet50-seed29,29,severe,0.936,375
0.006854632536570249,0.0057096781730652,0.01256431070963545,Industrial,375,8,0.021447721179624665,texture,0.976,resnet50,4.3456790123456786e-05,resnet50-seed29,29,severe,0.976,375
0.01317905495564137,0.02104067802429203,0.0342197329799334,Pasture,300,7,0.024054982817869417,texture,0.96,resnet50,0.00014650205761316873,resnet50-seed29,29,severe,0.9566666666666667,300
-0.007230538686116592,0.020720154603322362,0.01348961591720577,PermanentCrop,375,3,0.00821917808219178,texture,0.9706666666666667,resnet50,8.88888888888889e-05,resnet50-seed29,29,severe,0.984,375
-0.011010994646284326,0.011642247173521261,0.0006312525272369346,Residential,450,0,0.0,texture,0.9844444444444445,resnet50,1.3717421124828532e-05,resnet50-seed29,29,severe,1.0,450
0.13238074429829913,0.012438422997792542,0.14481916729609168,River,375,85,0.22911051212938005,texture,0.7706666666666667,resnet50,0.005089711934156379,resnet50-seed29,29,severe,0.7626666666666667,375
0.04257018168767306,0.003846578465567624,0.046416760153240685,SeaLake,450,28,0.062360801781737196,texture,0.9377777777777778,resnet50,0.0025832647462277094,resnet50-seed29,29,severe,0.9355555555555556,450
